,Species,Order,Family,Fixer ,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses,invasive,mutualist
1,Abarema_adenophora,Fabales,Fabaceae,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes
2,Abarema_barbouriane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Abarema_barnebyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Abarema_brachystachya,Fabales,Fabaceae,Yes,0,0,4.90E+11,-23.22507591,23.22507591,0,0,No,Yes
5,Abarema_centriflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Abarema_cochleata,Fabales,Fabaceae,Yes,0,0,3.13E+12,-4.22237921,4.22237921,0,0,No,Yes
7,Abarema_cochliacarpos,Fabales,Fabaceae,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes
8,Abarema_filamentosa,Fabales,Fabaceae,Yes,0,0,NA,NA,NA,0,0,No,Yes
9,Abarema_floribunda,Fabales,Fabaceae,Yes,0,0,4.38E+12,-2.89143378,2.89143378,0,0,No,Yes
10,Abarema_gallorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Abarema_jupunba,Fabales,Fabaceae,Yes,0,0,6.40E+12,-7.07229421,7.07229421,0,0,No,Yes
12,Abarema_laeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Abarema_langsdorfii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Abarema_leucophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Abarema_limae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Abarema_macradenia,Fabales,Fabaceae,Yes,0,0,2.46E+12,11.16642911,11.16642911,0,0,No,Yes
17,Abarema_mataybifloia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Abarema_microcalyx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Abarema_piresii,Fabales,Fabaceae,Yes,0,0,2.80E+12,-4.11243055,4.11243055,0,0,No,Yes
20,Abarema_turbinata,Fabales,Fabaceae,Yes,0,0,5.60E+11,-12.4751082,12.4751082,0,0,No,Yes
21,Abarema_villosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Abarema_zollerana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Abrus_mollis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Abrus_precatorius,Fabales,Fabaceae,Yes,4,1.48E+11,5.34E+13,9.00301812,9.00301812,0,7,Yes,Yes
25,Abrus_pulchellus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Acacia_adoxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Acacia_alata,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.46607155,25.46607155,0,0,No,Yes
28,Acacia_ampliceps,Fabales,Fabaceae,Yes,0,0,3.88E+12,-23.4204532,23.4204532,0,0,No,Yes
29,Acacia_assimilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Acacia_aulacocarpa,Fabales,Fabaceae,Yes,0,0,9.34E+12,-8.51803986,8.51803986,0,1,No,Yes
31,Acacia_aulacophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Acacia_auriculiformis,Fabales,Fabaceae,Yes,23,1.12E+13,4.09E+12,-5.85860106,5.85860106,0,4,Yes,Yes
33,Acacia_baileyana,Fabales,Fabaceae,Yes,13,1.07E+13,6.27E+12,-26.80596132,26.80596132,0,2,Yes,Yes
34,Acacia_bakeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Acacia_bancroftii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Acacia_binervata,Fabales,Fabaceae,Yes,2,2.68E+11,2.53E+12,-25.79163463,25.79163463,0,2,Yes,Yes
37,Acacia_calcicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Acacia_cambagei,Fabales,Fabaceae,Yes,0,0,4.86E+12,-25.00497902,25.00497902,0,1,No,Yes
39,Acacia_colei,Fabales,Fabaceae,Yes,0,0,5.61E+12,-23.16077529,23.16077529,0,3,No,Yes
40,Acacia_confusa,Fabales,Fabaceae,Yes,13,3.58E+12,1.25E+12,21.89229771,21.89229771,0,3,Yes,Yes
41,Acacia_coriacea,Fabales,Fabaceae,Yes,0,0,7.39E+12,-25.1628483,25.1628483,0,0,No,Yes
42,Acacia_cultriformis,Fabales,Fabaceae,Yes,13,2.08E+13,2.53E+12,-25.79163463,25.79163463,0,1,Yes,Yes
43,Acacia_cyclops,Fabales,Fabaceae,Yes,5,5.10E+12,3.51E+12,-26.80243548,26.80243548,0,4,Yes,Yes
44,Acacia_disparrima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Acacia_elata,Fabales,Fabaceae,Yes,11,9.68E+12,3.56E+12,-29.35867544,29.35867544,0,1,Yes,Yes
46,Acacia_fasciculifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Acacia_glaucoptera,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.46607155,25.46607155,0,0,No,Yes
48,Acacia_harpophylla,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.79163463,25.79163463,0,0,No,Yes
49,Acacia_jibberdingensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Acacia_karina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Acacia_leiocalyx,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.79163463,25.79163463,0,0,No,Yes
52,Acacia_leucoclada,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.79163463,25.79163463,0,0,No,Yes
53,Acacia_ligulata,Fabales,Fabaceae,Yes,0,0,7.62E+12,-25.55398159,25.55398159,0,1,No,Yes
54,Acacia_longifolia,Fabales,Fabaceae,Yes,20,2.05E+13,3.81E+12,-34.81475557,34.81475557,0,1,Yes,Yes
55,Acacia_lycopodifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Acacia_lysiphloia,Fabales,Fabaceae,Yes,0,0,5.61E+12,-23.16077529,23.16077529,0,0,No,Yes
57,Acacia_maidenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Acacia_mearnsii,Fabales,Fabaceae,Yes,34,1.78E+13,6.75E+12,-25.13916559,25.13916559,0,5,Yes,Yes
59,Acacia_melanoxylon,Fabales,Fabaceae,Yes,26,1.71E+13,6.34E+12,-34.37437305,34.37437305,0,4,Yes,Yes
60,Acacia_microbotrya,Fabales,Fabaceae,Yes,1,1.89E+11,2.53E+12,-25.46607155,25.46607155,0,0,Yes,Yes
61,Acacia_monticola,Fabales,Fabaceae,Yes,0,0,5.61E+12,-23.16077529,23.16077529,0,0,No,Yes
62,Acacia_myrtifolia,Fabales,Fabaceae,Yes,1,1.30E+11,6.34E+12,-34.37260051,34.37260051,0,1,Yes,Yes
63,Acacia_notabilis,Fabales,Fabaceae,Yes,1,1.89E+11,2.01E+12,-31.74043124,31.74043124,0,0,Yes,Yes
64,Acacia_nuperrima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Acacia_oshanesii,Fabales,Fabaceae,Yes,0,0,2.53E+12,-25.79163463,25.79163463,0,1,No,Yes
66,Acacia_papyrocarpa,Fabales,Fabaceae,Yes,0,0,3.51E+12,-26.80243548,26.80243548,0,0,No,Yes
67,Acacia_parramattensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Acacia_penninervis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Acacia_platycarpa,Fabales,Fabaceae,Yes,0,0,5.61E+12,-23.16077529,23.16077529,0,0,No,Yes
70,Acacia_podalyriifolia,Fabales,Fabaceae,Yes,13,2.26E+13,6.17E+12,-11.17061857,11.17061857,0,1,Yes,Yes
71,Acacia_ramulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
