Gene,Genus
OG0002301,Azorrhizobium
OG0002527,Azorrhizobium
OG0002676,Azorrhizobium
OG0002850,Azorrhizobium
OG0002851,Azorrhizobium
OG0002852,Azorrhizobium
OG0002853,Azorrhizobium
OG0002897,Azorrhizobium
OG0002898,Azorrhizobium
OG0002899,Azorrhizobium
OG0003138,Azorrhizobium
OG0003430,Azorrhizobium
OG0003431,Azorrhizobium
OG0004705,Azorrhizobium
OG0005399,Azorrhizobium
OG0005401,Azorrhizobium
OG0005404,Azorrhizobium
OG0001495,Azorrhizobium
OG0002850,Bradyrhizobium
OG0002851,Bradyrhizobium
OG0002852,Bradyrhizobium
OG0002853,Bradyrhizobium
OG0002897,Bradyrhizobium
OG0002898,Bradyrhizobium
OG0002899,Bradyrhizobium
OG0003555,Bradyrhizobium
OG0004705,Bradyrhizobium
OG0005198,Bradyrhizobium
OG0005401,Bradyrhizobium
OG0005651,Bradyrhizobium
OG0001195,Bradyrhizobium
OG0001474,Bradyrhizobium
OG0002676,Cupriavidus
OG0002851,Cupriavidus
OG0002852,Cupriavidus
OG0002853,Cupriavidus
OG0002897,Cupriavidus
OG0002898,Cupriavidus
OG0002899,Cupriavidus
OG0004347,Cupriavidus
OG0001278,Cupriavidus
OG0002676,Mesorhizobium
OG0002850,Mesorhizobium
OG0002851,Mesorhizobium
OG0002852,Mesorhizobium
OG0002853,Mesorhizobium
OG0002897,Mesorhizobium
OG0002898,Mesorhizobium
OG0002899,Mesorhizobium
OG0004705,Mesorhizobium
OG0002301,Microvigra
OG0002850,Microvigra
OG0002851,Microvigra
OG0002852,Microvigra
OG0002853,Microvigra
OG0002897,Microvigra
OG0002898,Microvigra
OG0002899,Microvigra
OG0003554,Microvigra
OG0003555,Microvigra
OG0004705,Microvigra
OG0005651,Microvigra
OG0002676,Paraburkholderia
OG0002850,Paraburkholderia
OG0002851,Paraburkholderia
OG0002852,Paraburkholderia
OG0002853,Paraburkholderia
OG0002897,Paraburkholderia
OG0002898,Paraburkholderia
OG0004347,Paraburkholderia
OG0002301,Rhizobium
OG0002495,Rhizobium
OG0002527,Rhizobium
OG0002676,Rhizobium
OG0002800,Rhizobium
OG0002850,Rhizobium
OG0002851,Rhizobium
OG0002852,Rhizobium
OG0002853,Rhizobium
OG0002897,Rhizobium
OG0002898,Rhizobium
OG0002899,Rhizobium
OG0003138,Rhizobium
OG0003431,Rhizobium
OG0003764,Rhizobium
OG0004929,Rhizobium
OG0005498,Rhizobium
OG0006995,Rhizobium
OG0007458,Rhizobium
OG0002676,Sinorhizobium
OG0002800,Sinorhizobium
OG0002850,Sinorhizobium
OG0002851,Sinorhizobium
OG0002852,Sinorhizobium
OG0002853,Sinorhizobium
OG0002897,Sinorhizobium
OG0002898,Sinorhizobium
OG0002899,Sinorhizobium
OG0004705,Sinorhizobium
