Code,dnds,Gene,Species,Mutualist,Pair,Transition
Dalea_mollis1,0.259607,OG0019756,Dalea_mollis,F,b,loss
Senna_barclayana,0.259607,OG0019756,Senna_barclayana,M,d,gain
Senna_occidentalis,0.187867,OG0019756,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.187867,OG0019756,Senna_didymobotrya,F,e,gain
Senna_italica,0.187867,OG0019756,Senna_italica,M,e,gain
Peltophorum_africanum,0.187867,OG0019756,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.187867,OG0019756,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.259607,OG0019756,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.259607,OG0019756,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.259607,OG0019756,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.259607,OG0019756,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.259607,OG0019756,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.151407,OG0019764,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.151407,OG0019764,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.151407,OG0019764,Calliandra_humilis,F,c,loss
Senna_occidentalis,0.197685,OG0019764,Senna_occidentalis,F,d,gain
Senna_barclayana,0.151407,OG0019764,Senna_barclayana,M,d,gain
Senna_didymobotrya,0.197685,OG0019764,Senna_didymobotrya,F,e,gain
Senna_italica,0.197685,OG0019764,Senna_italica,M,e,gain
Peltophorum_dubium,0.197685,OG0019764,Peltophorum_dubium,F,f,gain
Peltophorum_africanum,0.197685,OG0019764,Peltophorum_africanum,M,f,gain
Dalea_mollis1,0.151407,OG0019764,Dalea_mollis,F,b,loss
Dalea_mollissima,0.151407,OG0019764,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.151407,OG0019764,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.174793,OG0019782,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.235983,OG0019782,Senna_didymobotrya,F,e,gain
Senna_italica,0.235983,OG0019782,Senna_italica,M,e,gain
Senna_barclayana,0.174793,OG0019782,Senna_barclayana,M,d,gain
Senna_occidentalis,0.235983,OG0019782,Senna_occidentalis,F,d,gain
Peltophorum_africanum,0.235983,OG0019782,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.235983,OG0019782,Peltophorum_dubium,F,f,gain
Calliandra_eriophylla,0.174793,OG0019782,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.174793,OG0019782,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.174793,OG0019782,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.174793,OG0019782,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.174793,OG0019782,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0944407,OG0019804,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.262949,OG0019804,Senna_didymobotrya,F,e,gain
Senna_italica,0.262949,OG0019804,Senna_italica,M,e,gain
Senna_barclayana,0.0944407,OG0019804,Senna_barclayana,M,d,gain
Senna_occidentalis,0.262949,OG0019804,Senna_occidentalis,F,d,gain
Peltophorum_africanum,0.262949,OG0019804,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.262949,OG0019804,Peltophorum_dubium,F,f,gain
Mimosa_grahamii,0.0944407,OG0019804,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.0944407,OG0019804,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.0944407,OG0019804,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0944407,OG0019804,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.0944407,OG0019804,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.265399,OG0019805,Dalea_mollis,F,b,loss
Peltophorum_africanum,0.306571,OG0019805,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.306571,OG0019805,Peltophorum_dubium,F,f,gain
Mimosa_aculeaticarpa,0.265399,OG0019805,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.265399,OG0019805,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.265399,OG0019805,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.265399,OG0019805,Calliandra_humilis,F,c,loss
Senna_barclayana,0.265399,OG0019805,Senna_barclayana,M,d,gain
Senna_occidentalis,0.306571,OG0019805,Senna_occidentalis,F,d,gain
Senna_didymobotrya,0.306571,OG0019805,Senna_didymobotrya,F,e,gain
Senna_italica,0.306571,OG0019805,Senna_italica,M,e,gain
Dalea_mollissima,0.265399,OG0019805,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.234993,OG0019810,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.273591,OG0019810,Senna_didymobotrya,F,e,gain
Senna_italica,0.273591,OG0019810,Senna_italica,M,e,gain
Senna_barclayana,0.234993,OG0019810,Senna_barclayana,M,d,gain
Senna_occidentalis,0.273591,OG0019810,Senna_occidentalis,F,d,gain
Mimosa_aculeaticarpa,0.234993,OG0019810,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.234993,OG0019810,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.234993,OG0019810,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.234993,OG0019810,Calliandra_humilis,F,c,loss
Peltophorum_africanum,0.273591,OG0019810,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.273591,OG0019810,Peltophorum_dubium,F,f,gain
Dalea_mollissima,0.234993,OG0019810,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.140786,OG0019818,Dalea_mollis,F,b,loss
Senna_didymobotrya,0.192519,OG0019818,Senna_didymobotrya,F,e,gain
Senna_italica,0.192519,OG0019818,Senna_italica,M,e,gain
Senna_barclayana,0.140786,OG0019818,Senna_barclayana,M,d,gain
Senna_occidentalis,0.192519,OG0019818,Senna_occidentalis,F,d,gain
Calliandra_eriophylla,0.140786,OG0019818,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.140786,OG0019818,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.140786,OG0019818,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.140786,OG0019818,Mimosa_grahamii,F,a,loss
Peltophorum_africanum,0.192519,OG0019818,Peltophorum_africanum,M,f,gain
Peltophorum_dubium,0.192519,OG0019818,Peltophorum_dubium,F,f,gain
Dalea_mollissima,0.140786,OG0019818,Dalea_mollissima,M,b,loss
Peltophorum_dubium,0.274295,OG0019849,Peltophorum_dubium,F,f,gain
