Species,dnds,Gene,Mutualist,Pair,Transition
Cupriavidus_taiwanensis,1e-4,OG0001707,M,g,gain
Paraburkholderia_diazotrophica,0.0411499,OG0001707,M,h,gain
Mesorhizobium_oceanicum,0.0229158,OG0001707,F,e,loss
Mesorhizobium_temperatum,0.0333704,OG0001707,M,e,loss
Sinorhizobium_M4_45,0.0440101,OG0001707,F,a,loss
Sinorhizobium_meliloti,0.0329117,OG0001707,M,a,loss
Rhizobium_tubonense,0.038733,OG0001707,F,f,loss
Rhizobium_gallicum,0.0163258,OG0001707,M,f,loss
Microvirga_subterranea,0.0371759,OG0001707,F,d,gain
Microvirga_vignae,0.0202761,OG0001707,M,d,gain
Bradyrhizobium_icense,0.0209248,OG0001707,M,b,loss
Bradyrhizobium_oligotrophicum,0.022379,OG0001707,F,b,loss
Azorhizobium_caulinodans,0.0410096,OG0001707,M,c,gain
Xanthobacter_autotrophicus,0.0263527,OG0001707,F,c,gain
Cupriavidus_alkaliphilus,0.12462,OG0001707,F,g,gain
Cupriavidus_alkaliphilus,0.0469054,OG0001709,F,g,gain
Cupriavidus_taiwanensis,999,OG0001709,M,g,gain
Microvirga_subterranea,0.0107587,OG0001709,F,d,gain
Microvirga_vignae,0.0291571,OG0001709,M,d,gain
Mesorhizobium_temperatum,0.0791676,OG0001709,M,e,loss
Mesorhizobium_oceanicum,0.0365574,OG0001709,F,e,loss
Rhizobium_tubonense,0.0217142,OG0001709,F,f,loss
Rhizobium_gallicum,0.0274085,OG0001709,M,f,loss
Sinorhizobium_meliloti,0.0734507,OG0001709,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001709,F,a,loss
Xanthobacter_autotrophicus,0.0565854,OG0001709,F,c,gain
Azorhizobium_caulinodans,0.0544164,OG0001709,M,c,gain
Bradyrhizobium_oligotrophicum,0.0959442,OG0001709,F,b,loss
Bradyrhizobium_icense,0.155642,OG0001709,M,b,loss
Paraburkholderia_caribensis,0.0928159,OG0001709,F,h,gain
Bradyrhizobium_oligotrophicum,0.0307988,OG0001724,F,b,loss
Bradyrhizobium_icense,649.841,OG0001724,M,b,loss
Cupriavidus_alkaliphilus,0.151218,OG0001724,F,g,gain
Paraburkholderia_diazotrophica,0.10155,OG0001724,M,h,gain
Paraburkholderia_caribensis,0.0132361,OG0001724,F,h,gain
Sinorhizobium_meliloti,1e-4,OG0001724,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001724,F,a,loss
Rhizobium_gallicum,0.163574,OG0001724,M,f,loss
Rhizobium_tubonense,0.0260156,OG0001724,F,f,loss
Mesorhizobium_oceanicum,0.0870258,OG0001724,F,e,loss
Mesorhizobium_temperatum,0.0280508,OG0001724,M,e,loss
Azorhizobium_caulinodans,0.0864351,OG0001724,M,c,gain
Xanthobacter_autotrophicus,0.0571545,OG0001724,F,c,gain
Microvirga_subterranea,0.0240267,OG0001724,F,d,gain
Microvirga_vignae,0.04936,OG0001724,M,d,gain
Cupriavidus_taiwanensis,0.35114,OG0001725,M,g,gain
Azorhizobium_caulinodans,0.0449373,OG0001725,M,c,gain
Xanthobacter_autotrophicus,0.103364,OG0001725,F,c,gain
Bradyrhizobium_oligotrophicum,0.0511784,OG0001725,F,b,loss
Bradyrhizobium_icense,999,OG0001725,M,b,loss
Microvirga_subterranea,0.135497,OG0001725,F,d,gain
Microvirga_vignae,0.0120449,OG0001725,M,d,gain
Mesorhizobium_temperatum,0.0154345,OG0001725,M,e,loss
Mesorhizobium_oceanicum,0.0769427,OG0001725,F,e,loss
Rhizobium_gallicum,0.0202658,OG0001725,M,f,loss
Rhizobium_tubonense,1e-4,OG0001725,F,f,loss
Sinorhizobium_meliloti,0.0493435,OG0001725,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001725,F,a,loss
Paraburkholderia_diazotrophica,0.0472583,OG0001725,M,h,gain
Cupriavidus_alkaliphilus,1e-4,OG0001725,F,g,gain
Cupriavidus_taiwanensis,0.00864064,OG0001727,M,g,gain
Microvirga_vignae,0.00616088,OG0001727,M,d,gain
Microvirga_subterranea,0.0408212,OG0001727,F,d,gain
Azorhizobium_caulinodans,0.0300311,OG0001727,M,c,gain
Xanthobacter_autotrophicus,0.0345478,OG0001727,F,c,gain
Bradyrhizobium_oligotrophicum,0.0195457,OG0001727,F,b,loss
Bradyrhizobium_icense,0.0350968,OG0001727,M,b,loss
Mesorhizobium_oceanicum,0.0258649,OG0001727,F,e,loss
Mesorhizobium_temperatum,0.0228554,OG0001727,M,e,loss
Sinorhizobium_M4_45,1e-4,OG0001727,F,a,loss
Sinorhizobium_meliloti,1e-4,OG0001727,M,a,loss
Rhizobium_tubonense,0.0169215,OG0001727,F,f,loss
Rhizobium_gallicum,0.00681914,OG0001727,M,f,loss
Paraburkholderia_diazotrophica,0.0421851,OG0001727,M,h,gain
Cupriavidus_alkaliphilus,1e-4,OG0001727,F,g,gain
Rhizobium_gallicum,0.019707,OG0001736,M,f,loss
Rhizobium_tubonense,0.0498704,OG0001736,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0001736,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001736,F,a,loss
Azorhizobium_caulinodans,0.0660616,OG0001736,M,c,gain
Xanthobacter_autotrophicus,0.0392604,OG0001736,F,c,gain
Bradyrhizobium_oligotrophicum,0.0235906,OG0001736,F,b,loss
Bradyrhizobium_icense,0.0599707,OG0001736,M,b,loss
Microvirga_subterranea,0.051848,OG0001736,F,d,gain
Microvirga_vignae,0.0474372,OG0001736,M,d,gain
Mesorhizobium_temperatum,0.0441668,OG0001736,M,e,loss
Mesorhizobium_oceanicum,0.0320743,OG0001736,F,e,loss
Paraburkholderia_diazotrophica,0.0617991,OG0001736,M,h,gain
Cupriavidus_taiwanensis,0.0065344,OG0001736,M,g,gain
Cupriavidus_alkaliphilus,0.0944201,OG0001736,F,g,gain
Bradyrhizobium_icense,0.0533452,OG0001738,M,b,loss
Bradyrhizobium_oligotrophicum,0.0699817,OG0001738,F,b,loss
Xanthobacter_autotrophicus,0.100386,OG0001738,F,c,gain
Azorhizobium_caulinodans,0.0643201,OG0001738,M,c,gain
Microvirga_subterranea,0.0655711,OG0001738,F,d,gain
Microvirga_vignae,0.0464327,OG0001738,M,d,gain
Mesorhizobium_oceanicum,0.0504415,OG0001738,F,e,loss
Mesorhizobium_temperatum,0.075732,OG0001738,M,e,loss
Sinorhizobium_meliloti,130.747,OG0001738,M,a,loss
Sinorhizobium_M4_45,0.0311088,OG0001738,F,a,loss
Rhizobium_gallicum,0.0673377,OG0001738,M,f,loss
Cupriavidus_alkaliphilus,0.0139652,OG0001738,F,g,gain
Cupriavidus_taiwanensis,0.0187718,OG0001738,M,g,gain
Paraburkholderia_diazotrophica,0.0475431,OG0001738,M,h,gain
Paraburkholderia_caribensis,0.0238295,OG0001738,F,h,gain
Mesorhizobium_temperatum,0.0613063,OG0001742,M,e,loss
Mesorhizobium_oceanicum,0.0558388,OG0001742,F,e,loss
Rhizobium_gallicum,0.0747035,OG0001742,M,f,loss
Rhizobium_tubonense,0.117444,OG0001742,F,f,loss
Sinorhizobium_M4_45,1e-4,OG0001742,F,a,loss
Sinorhizobium_meliloti,0.0607263,OG0001742,M,a,loss
Microvirga_vignae,0.0946287,OG0001742,M,d,gain
Bradyrhizobium_oligotrophicum,0.0620346,OG0001742,F,b,loss
Bradyrhizobium_icense,0.0969651,OG0001742,M,b,loss
Azorhizobium_caulinodans,0.168534,OG0001742,M,c,gain
Xanthobacter_autotrophicus,0.0965918,OG0001742,F,c,gain
Cupriavidus_alkaliphilus,0.321951,OG0001742,F,g,gain
Cupriavidus_taiwanensis,0.0133223,OG0001742,M,g,gain
Paraburkholderia_diazotrophica,0.0937249,OG0001742,M,h,gain
Paraburkholderia_caribensis,0.0749253,OG0001742,F,h,gain
Paraburkholderia_diazotrophica,0.0356149,OG0001743,M,h,gain
Cupriavidus_alkaliphilus,999,OG0001743,F,g,gain
Cupriavidus_taiwanensis,0.0124527,OG0001743,M,g,gain
Rhizobium_tubonense,0.0262351,OG0001743,F,f,loss
Rhizobium_gallicum,0.0426294,OG0001743,M,f,loss
Sinorhizobium_M4_45,0.0199539,OG0001743,F,a,loss
Sinorhizobium_meliloti,999,OG0001743,M,a,loss
Mesorhizobium_oceanicum,0.0250698,OG0001743,F,e,loss
Mesorhizobium_temperatum,0.0343221,OG0001743,M,e,loss
Bradyrhizobium_icense,0.0193543,OG0001743,M,b,loss
Bradyrhizobium_oligotrophicum,0.0515289,OG0001743,F,b,loss
Azorhizobium_caulinodans,0.0420083,OG0001743,M,c,gain
Xanthobacter_autotrophicus,0.0581852,OG0001743,F,c,gain
Microvirga_vignae,0.0965855,OG0001743,M,d,gain
Paraburkholderia_caribensis,0.0316506,OG0001743,F,h,gain
Mesorhizobium_temperatum,0.0507307,OG0001744,M,e,loss
Sinorhizobium_meliloti,0.010015,OG0001744,M,a,loss
Sinorhizobium_M4_45,424.086,OG0001744,F,a,loss
Rhizobium_gallicum,0.0351869,OG0001744,M,f,loss
Rhizobium_tubonense,0.0134956,OG0001744,F,f,loss
Paraburkholderia_diazotrophica,0.0219889,OG0001744,M,h,gain
Paraburkholderia_caribensis,0.0184751,OG0001744,F,h,gain
Cupriavidus_alkaliphilus,0.0246848,OG0001744,F,g,gain
Cupriavidus_taiwanensis,0.024256,OG0001744,M,g,gain
Microvirga_vignae,0.0691008,OG0001744,M,d,gain
Xanthobacter_autotrophicus,0.0242951,OG0001744,F,c,gain
Azorhizobium_caulinodans,0.0542293,OG0001744,M,c,gain
Bradyrhizobium_icense,0.0288813,OG0001744,M,b,loss
Bradyrhizobium_oligotrophicum,0.0326937,OG0001744,F,b,loss
Mesorhizobium_oceanicum,0.0243581,OG0001744,F,e,loss
Microvirga_vignae,0.0405917,OG0001749,M,d,gain
Microvirga_subterranea,0.0906051,OG0001749,F,d,gain
Bradyrhizobium_icense,0.0012391,OG0001749,M,b,loss
Xanthobacter_autotrophicus,0.0620223,OG0001749,F,c,gain
Azorhizobium_caulinodans,0.0508027,OG0001749,M,c,gain
Rhizobium_gallicum,0.0338335,OG0001749,M,f,loss
Rhizobium_tubonense,0.0514931,OG0001749,F,f,loss
Sinorhizobium_meliloti,1e-4,OG0001749,M,a,loss
Sinorhizobium_M4_45,1e-4,OG0001749,F,a,loss
Mesorhizobium_temperatum,0.019711,OG0001749,M,e,loss
Mesorhizobium_oceanicum,0.140146,OG0001749,F,e,loss
Cupriavidus_alkaliphilus,0.0259892,OG0001749,F,g,gain
Cupriavidus_taiwanensis,319.85,OG0001749,M,g,gain
Paraburkholderia_diazotrophica,0.0138369,OG0001749,M,h,gain
Paraburkholderia_caribensis,1e-4,OG0001749,F,h,gain
Paraburkholderia_diazotrophica,0.0646335,OG0001751,M,h,gain
Cupriavidus_alkaliphilus,999,OG0001751,F,g,gain
Cupriavidus_taiwanensis,1e-4,OG0001751,M,g,gain
Xanthobacter_autotrophicus,0.0516144,OG0001751,F,c,gain
