Code,dnds,Gene,Estimate,Species,Mutualist,Pair,Transition
Mimosa_grahamii,0.301968,OG0019756,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.181433,OG0019756,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.301968,OG0019756,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.301968,OG0019756,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.181433,OG0019756,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.181433,OG0019756,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.15747,OG0019764,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.144426,OG0019764,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.15747,OG0019764,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.15747,OG0019764,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.144426,OG0019764,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.144426,OG0019764,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.183608,OG0019782,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.183608,OG0019782,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.168448,OG0019782,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.168448,OG0019782,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.183608,OG0019782,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.168448,OG0019782,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.0604565,OG0019804,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.0604565,OG0019804,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.127433,OG0019804,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.127433,OG0019804,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0604565,OG0019804,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.127433,OG0019804,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.390526,OG0019805,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.390526,OG0019805,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.195215,OG0019805,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.195215,OG0019805,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.390526,OG0019805,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.195215,OG0019805,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.241605,OG0019810,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.213797,OG0019810,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.241605,OG0019810,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.241605,OG0019810,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.213797,OG0019810,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.213797,OG0019810,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.119208,OG0019818,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.119208,OG0019818,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.1839,OG0019818,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.1839,OG0019818,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.119208,OG0019818,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.1839,OG0019818,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.120576,OG0019849,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.120576,OG0019849,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.122345,OG0019849,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.122345,OG0019849,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.120576,OG0019849,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.122345,OG0019849,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.306142,OG0019850,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.306142,OG0019850,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.247951,OG0019850,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.247951,OG0019850,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.306142,OG0019850,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.247951,OG0019850,loss,Dalea_mollissima,M,b,loss
Mimosa_grahamii,0.0737479,OG0019851,loss,Mimosa_grahamii,F,a,loss
Calliandra_eriophylla,0.036163,OG0019851,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.0737479,OG0019851,loss,Calliandra_humilis,F,c,loss
Dalea_mollis1,0.0737479,OG0019851,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.036163,OG0019851,loss,Dalea_mollissima,M,b,loss
Mimosa_aculeaticarpa,0.036163,OG0019851,loss,Mimosa_aculeaticarpa,M,a,loss
Dalea_mollis1,0.137002,OG0019854,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.137002,OG0019854,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.111763,OG0019854,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.111763,OG0019854,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.137002,OG0019854,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.111763,OG0019854,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.136476,OG0019855,loss,Dalea_mollis,F,b,loss
Calliandra_humilis,0.136476,OG0019855,loss,Calliandra_humilis,F,c,loss
Calliandra_eriophylla,0.142252,OG0019855,loss,Calliandra_eriophylla,M,c,loss
Mimosa_aculeaticarpa,0.142252,OG0019855,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.136476,OG0019855,loss,Mimosa_grahamii,F,a,loss
Dalea_mollissima,0.142252,OG0019855,loss,Dalea_mollissima,M,b,loss
Dalea_mollis1,0.157408,OG0019856,loss,Dalea_mollis,F,b,loss
Mimosa_grahamii,0.157408,OG0019856,loss,Mimosa_grahamii,F,a,loss
Mimosa_aculeaticarpa,0.12407,OG0019856,loss,Mimosa_aculeaticarpa,M,a,loss
Calliandra_eriophylla,0.12407,OG0019856,loss,Calliandra_eriophylla,M,c,loss
Calliandra_humilis,0.157408,OG0019856,loss,Calliandra_humilis,F,c,loss
Dalea_mollissima,0.12407,OG0019856,loss,Dalea_mollissima,M,b,loss
Calliandra_humilis,0.280824,OG0019857,loss,Calliandra_humilis,F,c,loss
Mimosa_aculeaticarpa,0.111289,OG0019857,loss,Mimosa_aculeaticarpa,M,a,loss
Mimosa_grahamii,0.280824,OG0019857,loss,Mimosa_grahamii,F,a,loss
Dalea_mollis1,0.280824,OG0019857,loss,Dalea_mollis,F,b,loss
Dalea_mollissima,0.111289,OG0019857,loss,Dalea_mollissima,M,b,loss
Calliandra_eriophylla,0.111289,OG0019857,loss,Calliandra_eriophylla,M,c,loss
Mimosa_grahamii,0.0506804,OG0019859,loss,Mimosa_grahamii,F,a,loss
