Code,dnds,Gene,Species,Mutualist,Pair,Transition
Calliandra_eriophylla_NODE_10347_length_3012_cov_15.706022_g4636_i0.p1,999,OG0019756,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_10498_length_2997_cov_63.285910_g4703_i0.p1,0.104639,OG0019764,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_10955_length_2953_cov_135.996875_g2268_i2.p2,0.361313,OG0019780,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_10960_length_2953_cov_82.342361_g4908_i0.p1,0.438169,OG0019782,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_11229_length_2926_cov_223.535226_g5029_i0.p2,0.0582865,OG0019801,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_11319_length_2917_cov_220.689170_g4759_i1.p1,0.159803,OG0019804,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_11358_length_2914_cov_30.823302_g5093_i0.p1,0.486682,OG0019805,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_11482_length_2903_cov_299.289753_g3930_i1.p1,0.134766,OG0019810,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_11606_length_2893_cov_80.784752_g5204_i0.p1,0.275993,OG0019818,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_1184_length_5442_cov_120.366549_g355_i5.p2,1e-4,OG0019826,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_12607_length_2812_cov_211.342826_g5652_i0.p1,0.0817909,OG0019849,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_12614_length_2812_cov_68.839723_g5654_i0.p1,0.445168,OG0019850,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13003_length_2780_cov_430.846694_g2565_i2.p1,0.120501,OG0019851,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_1325_length_5288_cov_96.245638_g569_i0.p1,0.133958,OG0019854,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13289_length_2757_cov_187.020864_g5404_i1.p1,0.175272,OG0019855,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13308_length_2756_cov_88.443161_g3328_i2.p1,0.143545,OG0019856,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13367_length_2752_cov_64.478910_g5972_i0.p1,0.0897294,OG0019857,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13540_length_2740_cov_83.241470_g6054_i0.p1,0.17565,OG0019859,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_13974_length_2708_cov_137.128653_g6237_i0.p1,0.269316,OG0019867,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14116_length_2698_cov_442.096000_g282_i6.p1,0.108222,OG0019871,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14258_length_2689_cov_37.866208_g2749_i1.p1,0.299527,OG0019876,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14321_length_2684_cov_76.625048_g6400_i0.p1,0.153574,OG0019877,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14362_length_2680_cov_106.721135_g376_i1.p1,0.260758,OG0019878,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14781_length_2653_cov_27.426744_g6574_i0.p1,0.271495,OG0019887,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_14792_length_2652_cov_85.175649_g6580_i0.p1,0.255254,OG0019888,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15132_length_2630_cov_26.975753_g6733_i0.p1,0.14884,OG0019894,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15354_length_2616_cov_55.798663_g6827_i0.p1,0.0518983,OG0019897,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15376_length_2614_cov_87.696576_g6838_i0.p1,0.0574965,OG0019898,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15739_length_2587_cov_426.596659_g846_i2.p1,0.241526,OG0019902,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15840_length_2581_cov_27.733652_g7049_i0.p1,0.397844,OG0019903,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15923_length_2575_cov_105.683054_g4158_i1.p1,0.13139,OG0019904,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_15981_length_2571_cov_254.115693_g3767_i1.p1,0.0512665,OG0019906,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16121_length_2563_cov_272.755422_g7159_i0.p1,0.0482277,OG0019909,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16292_length_2551_cov_197.951574_g868_i2.p1,0.133187,OG0019913,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16318_length_2550_cov_94.110214_g7245_i0.p1,0.109196,OG0019914,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16319_length_2550_cov_70.408962_g7246_i0.p1,0.523979,OG0019915,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16375_length_2547_cov_18.601859_g7270_i0.p1,0.155288,OG0019917,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16568_length_2534_cov_11.659894_g7350_i0.p1,0.522001,OG0019919,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16641_length_2530_cov_51.252340_g6673_i1.p1,0.118079,OG0019921,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16773_length_2522_cov_876.898326_g7444_i0.p1,0.0815843,OG0019923,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16784_length_2522_cov_66.160065_g4229_i1.p1,0.184185,OG0019924,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_16986_length_2509_cov_305.795977_g803_i1.p1,0.891702,OG0019928,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_17359_length_2487_cov_224.757664_g7680_i0.p1,0.140072,OG0019934,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_17458_length_2481_cov_533.314369_g6230_i2.p1,0.11602,OG0019937,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_17610_length_2472_cov_308.485619_g7090_i1.p1,0.211646,OG0019942,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_18622_length_2415_cov_62.117421_g8207_i0.p1,0.210107,OG0019962,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_18830_length_2403_cov_418.813305_g3942_i1.p1,0.279558,OG0019964,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_18947_length_2397_cov_183.420396_g8345_i0.p1,0.255161,OG0019966,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_19161_length_2384_cov_740.375162_g2756_i2.p1,0.168308,OG0019968,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_19172_length_2384_cov_67.382951_g8447_i0.p1,0.261863,OG0019971,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_19207_length_2382_cov_66.242096_g8465_i0.p1,0.233607,OG0019972,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_19319_length_2375_cov_1619.656386_g2343_i2.p1,0.184037,OG0019974,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_19724_length_2355_cov_15.469325_g8661_i0.p1,1e-4,OG0019978,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_20077_length_2336_cov_61.942996_g5170_i3.p1,0.215583,OG0019984,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_20129_length_2334_cov_6.965060_g8835_i0.p1,0.236165,OG0019986,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_20576_length_2310_cov_85.657130_g9015_i0.p1,0.201658,OG0019992,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_21054_length_2284_cov_55.044324_g9216_i0.p1,0.156329,OG0020004,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_21561_length_2259_cov_54.441446_g9421_i0.p1,0.450573,OG0020007,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_21868_length_2245_cov_232.790055_g8702_i2.p1,0.402524,OG0020015,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_22038_length_2237_cov_51.904806_g9607_i0.p1,0.331693,OG0020016,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_22396_length_2222_cov_58.012099_g9736_i0.p1,0.1087,OG0020019,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_22629_length_2211_cov_70.331618_g9834_i0.p1,0.126427,OG0020025,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_22992_length_2194_cov_13.503065_g9991_i0.p1,0.182819,OG0020031,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_23218_length_2184_cov_150.882046_g4610_i1.p1,0.215356,OG0020034,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_23267_length_2182_cov_80.655287_g10111_i0.p1,0.076484,OG0020036,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_23313_length_2180_cov_110.417181_g8612_i1.p1,1e-4,OG0020037,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_23714_length_2163_cov_17.706220_g10292_i0.p1,0.30012,OG0020045,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_23948_length_2151_cov_116.600577_g10396_i0.p1,0.29852,OG0020052,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_2399_length_4533_cov_175.830717_g1067_i0.p1,0.180937,OG0020054,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24004_length_2148_cov_298.409639_g7920_i3.p1,0.183418,OG0020056,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24067_length_2145_cov_1754.864382_g10157_i2.p1,0.120547,OG0020058,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24087_length_2145_cov_87.740830_g10448_i0.p1,0.321854,OG0020060,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24111_length_2144_cov_68.338001_g10459_i0.p1,0.0633064,OG0020061,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24176_length_2141_cov_87.058511_g10488_i0.p1,0.0420942,OG0020062,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24205_length_2140_cov_67.714562_g10498_i0.p1,0.0570452,OG0020063,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24320_length_2135_cov_40.389913_g10545_i0.p1,0.160575,OG0020066,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24436_length_2130_cov_57.194458_g10594_i0.p1,0.14872,OG0020067,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24532_length_2125_cov_88.184211_g10634_i0.p1,0.142162,OG0020070,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24597_length_2122_cov_186.780381_g9830_i1.p1,0.214023,OG0020072,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_24763_length_2115_cov_82.510774_g10722_i0.p1,0.188832,OG0020076,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25172_length_2098_cov_107.569383_g7447_i2.p1,0.135693,OG0020083,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25342_length_2091_cov_7.614470_g10955_i0.p1,0.140571,OG0020087,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25448_length_2086_cov_149.278689_g8807_i1.p1,0.10119,OG0020089,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25600_length_2080_cov_134.538117_g11074_i0.p1,0.108789,OG0020091,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25701_length_2076_cov_205.187718_g4276_i1.p1,0.299113,OG0020093,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_25894_length_2068_cov_55.601504_g11199_i0.p1,0.179425,OG0020097,Calliandra_eriophylla,M,c,loss
Calliandra_eriophylla_NODE_26017_length_2063_cov_59.185427_g11246_i0.p1,0.12455,OG0020098,Calliandra_eriophylla,M,c,loss
